,age,fnlwgt,education-num,marital-status,relationship,race,sex,hours-per-week,income
0,39,77516,13,1,1,8,2,40,0
1,50,83311,13,2,8,8,2,13,0
2,38,215646,9,4,1,8,2,40,0
3,53,234721,7,2,8,4,2,40,0
4,28,338409,13,2,16,4,1,40,0
5,37,284582,14,2,16,8,1,40,0
6,49,160187,5,16,1,4,1,16,0
7,52,209642,9,2,8,8,2,45,1
8,31,45781,14,1,1,8,1,50,1
9,42,159449,13,2,8,8,2,40,1
10,37,280464,10,2,8,4,2,80,1
11,30,141297,13,2,8,2,2,40,1
12,23,122272,13,1,2,8,1,30,0
13,32,205019,12,1,1,4,2,50,0
14,40,121772,11,2,8,2,2,40,1
15,34,245487,4,2,8,1,2,45,0
16,25,176756,9,1,2,8,2,35,0
17,32,186824,9,1,4,8,2,40,0
18,38,28887,7,2,8,8,2,50,0
19,43,292175,14,4,4,8,1,45,1
20,40,193524,16,2,8,8,2,60,1
21,54,302146,9,32,4,4,1,20,0
22,35,76845,5,2,8,4,2,40,0
23,43,117037,7,2,8,8,2,40,0
24,59,109015,9,4,4,8,1,40,0
25,56,216851,13,2,8,8,2,40,1
26,19,168294,9,1,2,8,2,40,0
27,54,180211,10,2,8,2,2,60,1
28,39,367260,9,4,1,8,2,80,0
29,49,193366,9,2,8,8,2,40,0
30,23,190709,12,1,1,8,2,52,0
31,20,266015,10,1,2,4,2,44,0
32,45,386940,13,4,2,8,2,40,0
33,30,59951,10,2,2,8,2,40,0
34,22,311512,10,2,8,4,2,15,0
35,48,242406,7,1,4,8,2,40,0
36,21,197200,10,1,2,8,2,40,0
37,19,544091,9,8,16,8,1,25,0
38,31,84154,10,2,8,8,2,38,1
39,48,265477,12,2,8,8,2,40,0
40,31,507875,5,2,8,8,2,43,0
41,53,88506,13,2,8,8,2,40,0
42,24,172987,13,2,8,8,2,50,0
43,49,94638,9,32,4,8,1,40,0
44,25,289980,9,1,1,8,2,35,0
45,57,337895,13,2,8,4,2,40,1
46,53,144361,9,2,8,8,2,38,0
47,44,128354,14,4,4,8,1,40,0
48,41,101603,11,2,8,8,2,40,0
49,29,271466,11,1,1,8,2,43,0
50,25,32275,10,2,16,16,1,40,0
51,18,226956,9,1,2,8,1,30,0
52,47,51835,15,2,16,8,1,60,1
53,50,251585,13,4,1,8,2,55,1
54,47,109832,9,4,1,8,2,60,0
55,43,237993,10,2,8,8,2,40,1
56,46,216666,3,2,8,8,2,40,0
57,35,56352,11,2,8,8,2,40,0
58,41,147372,9,2,8,8,2,48,0
59,30,188146,9,2,8,8,2,40,0
60,30,59496,13,2,8,8,2,40,0
61,32,293936,4,16,1,8,2,40,0
62,48,149640,9,2,8,8,2,40,0
63,42,116632,16,2,8,8,2,45,1
64,29,105598,10,4,1,8,2,58,0
65,36,155537,9,2,8,8,2,40,0
66,28,183175,10,4,1,8,1,40,0
67,53,169846,9,2,16,8,1,40,1
68,49,191681,10,2,8,8,2,50,1
69,25,200681,10,1,2,8,2,40,0
70,19,101509,10,1,2,8,2,32,0
71,31,309974,13,32,2,4,1,40,0
72,29,162298,13,2,8,8,2,70,1
73,23,211678,10,1,1,8,2,40,0
74,79,124744,10,2,32,8,2,20,0
75,27,213921,9,1,2,8,2,40,0
76,40,32214,12,2,8,8,2,40,0
77,67,212759,6,2,8,8,2,2,0
78,18,309634,7,1,2,8,1,22,0
79,31,125927,4,2,8,8,2,40,0
80,18,446839,9,1,1,8,2,30,0
81,52,276515,13,2,8,8,2,40,0
82,46,51618,9,2,16,8,1,40,0
83,59,159937,9,2,8,8,2,48,0
84,44,343591,9,4,1,8,1,40,1
85,53,346253,9,4,2,8,1,35,0
86,49,268234,9,2,8,8,2,40,1
87,33,202051,14,2,8,8,2,50,0
88,30,54334,5,1,1,8,2,40,0
89,43,410867,16,1,1,8,1,50,1
90,57,249977,11,2,8,8,2,40,0
91,37,286730,10,4,4,8,1,40,0
92,28,212563,10,4,4,4,1,25,0
93,30,117747,9,2,16,2,1,35,0
94,34,226296,13,2,8,8,2,40,1
95,29,115585,10,1,1,8,2,50,0
96,48,191277,16,2,8,8,2,60,1
97,37,202683,10,2,8,8,2,48,1
98,48,171095,12,4,4,8,1,40,0
99,32,249409,9,1,2,4,2,40,0
100,76,124191,14,2,8,8,2,40,1
